Date,Market 1 Price [£/MWh],Market 2 Price [£/MWh],Transmission System Electricity Demand [MW],Wind Generation [MW],Solar Generation [MW],Coal Generation [MW],Gas Generation [MW],Market 3 Price [£/MWh]
2018-01-01 14:00:00,55.94,52.57,32952,6737.0,1380.0,1606.08333333333,12405.25,48.6
2018-01-01 14:30:00,52.55,59.08,32995,6768.0,1310.0,1876.0,12570.75,48.6
2018-01-01 15:00:00,59.43,69.78,33507,6938.75,796.0,2140.5,12343.0833333333,48.6
2018-01-01 15:30:00,61.01,69.28,34416,7273.5,384.0,2235.0,12623.25,48.6
2018-01-01 16:00:00,63.07,74.56,35996,7707.5,74.1,2235.0,13307.1666666666,48.6
2018-01-01 16:30:00,64.91,71.87,38136,8216.5,1.8,2235.0,13704.25,48.6
2018-01-01 17:00:00,63.27,72.77,38708,8754.0,0.00461,2235.0,13887.75,48.6
2018-01-01 17:30:00,61.55,70.17,38356,9098.75,0.0,2235.0,13900.25,48.6
2018-01-01 18:00:00,58.82,64.53,37421,9509.5,0.00321,2235.0,13907.5,48.6
2018-01-01 18:30:00,55.67,62.36,36757,9790.75,0.00351,2235.0,13306.25,48.6
2018-01-01 19:00:00,46.13,53.9,35598,10001.0,0.00832,1975.5,12141.7916666666,48.6
2018-01-01 19:30:00,47.03,53.72,34449,10138.5,0.0019,1487.3,11445.75,48.6
2018-01-01 20:00:00,48.91,59.55,33469,10235.25,0.0,1290.0,10561.25,48.6
2018-01-01 20:30:00,45.87,56.0,32154,10319.25,0.00373,1290.0,9789.33333333333,48.6
2018-01-01 21:00:00,46.95,51.97,31060,10410.75,0.00201,1290.0,8466.54166666666,48.6
2018-01-01 21:30:00,46.71,53.69,29608,10310.75,0.0,1290.0,7818.5,48.6
2018-01-01 22:00:00,46.08,52.36,28119,10226.75,0.0,1290.0,6970.625,48.6
2018-01-01 22:30:00,45.77,52.16,26747,10086.5,0.00188,1290.0,6328.0,48.6
2018-01-01 23:00:00,45.25,47.28,25181,10022.25,0.0019,1290.0,5987.5,48.6
2018-01-01 23:30:00,39.33,41.08,24092,9892.25,0.00395,1290.0,5870.0,48.6
2018-01-02 00:00:00,40.23,46.73,24004,9641.0,0.00961,1279.66666666666,5870.25,49.599999999999994
2018-01-02 00:30:00,40.6,44.0,24832,9428.5,0.00237,1282.75,5793.75,49.599999999999994
2018-01-02 01:00:00,38.95,45.09,24829,9221.75,0.00751,1285.0,5643.0,49.599999999999994
2018-01-02 01:30:00,38.8,40.39,24339,8936.5,0.0086,1277.5,5505.5,49.599999999999994
2018-01-02 02:00:00,37.28,43.9,24063,8559.25,0.00549,1282.5,5467.0,49.599999999999994
2018-01-02 02:30:00,37.66,41.94,24049,8130.25,0.00933,1285.0,5303.0,49.599999999999994
2018-01-02 03:00:00,41.06,42.83,23874,7876.5,0.0,1298.08333333333,5221.88541666666,49.599999999999994
2018-01-02 03:30:00,44.07,50.99,23500,7538.0,0.00749,1296.0,5330.81034482758,49.599999999999994
2018-01-02 04:00:00,42.21,45.7,23427,7297.75,0.00532,1318.75,5790.58333333333,49.599999999999994
2018-01-02 04:30:00,43.08,43.72,23520,7059.25,0.00514,1329.0,6650.58333333333,49.599999999999994
2018-01-02 05:00:00,54.59,58.99,24354,6904.0,0.00735,1385.5,6971.75,49.599999999999994
2018-01-02 05:30:00,55.53,62.02,25417,6736.75,0.00514,1440.5,7371.33333333333,49.599999999999994
2018-01-02 06:00:00,58.52,58.82,28042,6550.5,0.00703,1607.5,8923.48333333333,49.599999999999994
2018-01-02 06:30:00,48.16,53.53,30245,6536.25,0.00219,1742.5,11532.35,49.599999999999994
2018-01-02 07:00:00,43.64,45.42,32738,6640.5,0.0,1853.58333333333,14933.0,49.599999999999994
2018-01-02 07:30:00,48.24,50.04,34207,6827.25,0.0,2122.0,16166.5,49.599999999999994
2018-01-02 08:00:00,51.96,52.79,36011,7028.58333333333,0.0318,2363.66666666666,16417.5,49.599999999999994
2018-01-02 08:30:00,53.68,54.05,37518,7305.0,1.17,2430.0,16505.5,49.599999999999994
2018-01-02 09:00:00,50.84,50.6,39040,7482.25,7.56,2430.0,16518.25,49.599999999999994
2018-01-02 09:30:00,50.46,47.37,39932,7762.75,27.2,2297.5,16515.75,49.599999999999994
2018-01-02 10:00:00,51.01,51.28,40532,8187.25,83.9,2180.5,16421.9807692307,49.599999999999994
2018-01-02 10:30:00,51.98,49.43,40705,8758.5,152.0,2223.5,16407.25,49.599999999999994
2018-01-02 11:00:00,52.38,51.11,40882,9187.5,240.0,2264.5,16445.5,49.599999999999994
2018-01-02 11:30:00,52.59,48.85,41124,9547.5,288.0,2337.5,16413.0,49.599999999999994
2018-01-02 12:00:00,51.94,47.34,41443,10044.5,371.0,2436.5,16747.5,49.599999999999994
2018-01-02 12:30:00,50.2,49.07,41458,10458.25,434.0,2535.5,16901.75,49.599999999999994
2018-01-02 13:00:00,46.63,45.88,41415,10862.75,508.0,2585.0,16798.0,49.599999999999994
2018-01-02 13:30:00,45.63,47.57,41183,11071.25,430.0,2442.5,16785.5,49.599999999999994
2018-01-02 14:00:00,46.09,41.79,41051,11117.75,372.0,2402.5,16384.05,49.599999999999994
2018-01-02 14:30:00,45.56,47.0,40861,11178.25,285.0,2457.5,16328.5,49.599999999999994
2018-01-02 15:00:00,54.11,59.94,41124,10937.3333333333,144.0,2733.58333333333,16902.0217391304,49.599999999999994
2018-01-02 15:30:00,55.46,64.36,41777,10551.0,45.7,3133.0,17569.8666666666,49.599999999999994
2018-01-02 16:00:00,53.69,60.36,42992,10298.25,3.5,3559.75,17915.9384057971,49.599999999999994
2018-01-02 16:30:00,64.71,69.98,44450,10021.0,0.0032,3855.0,18393.0,49.599999999999994
2018-01-02 17:00:00,77.94,89.69,44990,9857.0,4.52e-05,3855.0,18462.5,49.599999999999994
2018-01-02 17:30:00,73.13,82.11,44886,9752.75,0.00206,3855.0,18359.75,49.599999999999994
2018-01-02 18:00:00,71.63,81.76,44335,9586.5,0.00932,3855.0,17981.0,49.599999999999994
2018-01-02 18:30:00,65.18,76.6,43438,9355.25,0.00426,3855.0,17942.5,49.599999999999994
2018-01-02 19:00:00,60.09,65.73,42396,9189.25,0.0127,3855.0,17236.0666666666,49.599999999999994
2018-01-02 19:30:00,54.67,65.84,40637,9259.5,0.0148,3388.0,16338.5833333333,49.599999999999994
2018-01-02 20:00:00,53.43,61.01,39322,9589.75,0.00831,2419.8,15481.5,49.599999999999994
2018-01-02 20:30:00,49.58,57.08,37563,9791.5,0.0195,1954.16666666666,13971.1,49.599999999999994
2018-01-02 21:00:00,50.96,53.23,35652,9953.0,0.0,1935.0,11914.8666666666,49.599999999999994
2018-01-02 21:30:00,47.73,47.74,33344,10138.5,0.0299,1875.83333333333,9822.55681818181,49.599999999999994
2018-01-02 22:00:00,47.42,52.26,31186,10329.8333333333,0.0184,1464.16666666666,8375.875,49.599999999999994
2018-01-02 22:30:00,47.13,51.98,29189,10569.0,0.0251,865.0,7124.16666666666,49.599999999999994
2018-01-02 23:00:00,48.52,53.04,27025,10670.25,0.0664,645.0,6053.95,49.599999999999994
2018-01-02 23:30:00,43.08,46.83,25853,10777.25,0.00553,645.0,5281.25,49.599999999999994
2018-01-03 00:00:00,45.97,47.71,25340,10920.25,0.00426,645.0,5073.0,48.2
2018-01-03 00:30:00,47.84,54.8,25751,11085.0,0.0,645.0,5284.25,48.2
2018-01-03 01:00:00,51.28,54.93,25469,10990.5,0.0116,645.0,5090.83333333333,48.2
2018-01-03 01:30:00,49.45,52.26,24904,11006.0,0.0,645.0,4766.5,48.2
2018-01-03 02:00:00,48.71,52.08,24439,10992.75,0.0,645.0,4739.0,48.2
2018-01-03 02:30:00,49.83,50.5,24177,11044.25,0.0,645.0,4734.5,48.2
2018-01-03 03:00:00,47.58,52.88,23870,11079.5,0.00192,645.0,4693.5,48.2
2018-01-03 03:30:00,46.51,52.39,23546,11083.0,0.0,645.0,4615.82727272727,48.2
2018-01-03 04:00:00,44.08,45.6,23364,11140.6666666666,0.0,645.0,4566.15,48.2
2018-01-03 04:30:00,44.35,50.63,23431,11107.5,0.025,645.0,4511.26111111111,48.2
2018-01-03 05:00:00,49.61,49.82,23994,11075.5,0.0117,645.0,4786.33333333333,48.2
2018-01-03 05:30:00,48.31,49.75,25034,10890.75,0.0,680.833333333333,5409.6,48.2
2018-01-03 06:00:00,55.74,59.87,27747,10774.25,0.0,841.25,6987.76666666666,48.2
2018-01-03 06:30:00,49.69,50.09,30201,10714.5,0.000612,1092.5,9244.925,48.2
2018-01-03 07:00:00,52.0,53.25,33129,10614.75,0.0,1143.33333333333,12271.6666666666,48.2
2018-01-03 07:30:00,55.73,62.01,34919,10406.5,0.00218,1280.83333333333,13463.8333333333,48.2
2018-01-03 08:00:00,44.06,44.08,36562,10463.75,0.0158,1290.0,15077.5833333333,48.2
2018-01-03 08:30:00,45.36,45.39,37516,10381.25,7.54,1290.0,15568.0,48.2
2018-01-03 09:00:00,44.43,40.47,38424,10490.0,139.0,1290.0,15707.5,48.2
2018-01-03 09:30:00,44.16,40.01,38573,10606.5,450.0,1290.0,15858.5,48.2
2018-01-03 10:00:00,43.72,40.92,38483,10625.0,948.0,1290.0,16153.25,48.2
2018-01-03 10:30:00,45.01,42.14,38408,10679.0,1420.0,1290.0,16129.75,48.2
2018-01-03 11:00:00,43.46,40.86,38450,10778.25,1950.0,1290.0,16302.75,48.2
2018-01-03 11:30:00,43.07,44.47,38263,10913.25,2210.0,1290.0,16068.0,48.2
2018-01-03 12:00:00,43.43,42.3,38547,11018.5,2410.0,1290.0,15704.5416666666,48.2
2018-01-03 12:30:00,43.82,42.64,38548,11015.5,2400.0,1290.0,15646.6538461538,48.2
2018-01-03 13:00:00,44.24,45.08,38572,10989.75,2460.0,1290.0,15898.25,48.2
2018-01-03 13:30:00,43.94,40.94,38553,10961.0,2140.0,1290.0,15963.5,48.2
2018-01-03 14:00:00,43.91,45.46,39103,10956.5,1740.0,1280.0,16011.5,48.2
2018-01-03 14:30:00,44.08,44.39,39522,10857.25,1020.0,1333.33333333333,15993.0,48.2
2018-01-03 15:00:00,50.25,56.04,40006,10760.75,532.0,1586.08333333333,16195.4166666666,48.2
2018-01-03 15:30:00,51.74,61.39,40708,10699.5,180.0,1871.0,16673.9916666666,48.2
2018-01-03 16:00:00,50.68,58.29,42040,10655.0,13.0,2140.5,17695.5452380952,48.2
2018-01-03 16:30:00,66.99,75.42,44013,10699.5,0.0082,2235.0,18310.75,48.2
2018-01-03 17:00:00,73.14,78.2,44755,10715.5,0.039,2235.0,18339.0,48.2
2018-01-03 17:30:00,69.96,78.44,44601,10743.75,0.0,2235.0,18347.5,48.2
2018-01-03 18:00:00,72.91,78.14,44080,10572.0,0.00189,2235.0,18344.75,48.2
2018-01-03 18:30:00,64.53,70.24,43203,10497.5,0.0,2235.0,18354.5,48.2
2018-01-03 19:00:00,57.9,64.04,42558,10494.0,0.0,2019.75,18351.1666666666,48.2
2018-01-03 19:30:00,48.41,54.23,41348,10527.5,0.00187,1631.5,17818.875,48.2
2018-01-03 20:00:00,47.62,53.48,39894,10580.75,0.0,1373.0,16295.0,48.2
2018-01-03 20:30:00,46.41,54.2,38203,10587.5,0.0,1290.0,15035.55,48.2
2018-01-03 21:00:00,46.58,48.56,36242,10342.6666666666,0.00193,1290.0,12811.4541666666,48.2
2018-01-03 21:30:00,46.71,52.01,34159,10132.5,0.0,1290.0,11134.625,48.2
2018-01-03 22:00:00,43.22,48.64,32149,9985.25,0.0,1290.0,10339.25,48.2
2018-01-03 22:30:00,42.18,45.84,30416,9784.75,0.0493,1290.0,9424.66666666666,48.2
2018-01-03 23:00:00,41.4,46.26,28464,9527.0,0.0,1237.5,8384.7375,48.2
2018-01-03 23:30:00,40.08,44.12,27385,9284.0,0.00784,1232.5,7752.3409090909,48.2
2018-01-04 00:00:00,40.31,41.86,27278,8940.0,0.00278,1215.83333333333,7823.85,50.4
2018-01-04 00:30:00,41.76,45.68,27848,8697.0,0.0,1220.83333333333,8228.0,50.4
2018-01-04 01:00:00,42.68,48.75,27548,8417.5,0.0,1227.5,8374.31578947368,50.4
2018-01-04 01:30:00,40.63,43.61,26987,8119.25,0.0,1220.16666666666,8328.0,50.4
2018-01-04 02:00:00,39.87,42.01,26717,7676.0,0.0,1206.66666666666,8387.88333333333,50.4
2018-01-04 02:30:00,40.26,46.6,26715,7267.5,0.0,1198.0,8553.25,50.4
2018-01-04 03:00:00,43.24,47.88,26438,6823.41666666666,0.0,1195.25,9017.25,50.4
2018-01-04 03:30:00,43.31,50.03,26178,6440.75,0.0,1196.0,9114.5,50.4
2018-01-04 04:00:00,43.17,43.81,26120,6203.25,0.0,1200.75,9109.25,50.4
2018-01-04 04:30:00,42.92,42.99,26288,5991.5,0.00227,1220.5,9358.79195402298,50.4
2018-01-04 05:00:00,43.15,48.26,27061,5819.25,0.0,1322.16666666666,9783.8,50.4
2018-01-04 05:30:00,43.04,48.71,28251,5616.5,0.00225,1520.75,10220.1406593406,50.4
2018-01-04 06:00:00,50.71,54.74,30784,5346.25,0.0,1961.0,12253.3166666666,50.4
2018-01-04 06:30:00,45.0,51.52,33419,5113.5,0.0,2388.25,14822.3780701754,50.4
2018-01-04 07:00:00,47.01,48.76,36552,4981.75,0.0,2750.66666666666,17982.75,50.4
2018-01-04 07:30:00,46.66,49.54,38285,5015.25,0.0,3103.75,19547.6666666666,50.4
2018-01-04 08:00:00,43.38,43.64,39673,5112.91666666666,0.00392,3078.26666666666,20192.3125,50.4
2018-01-04 08:30:00,42.27,37.96,40068,5173.5,0.00797,3120.0,20343.5147058823,50.4
2018-01-04 09:00:00,45.05,41.79,40840,4902.25,14.8,3135.0,20468.25,50.4
2018-01-04 09:30:00,44.34,44.9,40965,4956.5,103.0,3047.5,20385.0,50.4
2018-01-04 10:00:00,43.38,42.52,40701,5366.5,252.0,2915.0,20367.3333333333,50.4
2018-01-04 10:30:00,43.59,39.75,40427,6022.5,417.0,2509.58333333333,20080.25,50.4
2018-01-04 11:00:00,43.28,38.31,40587,6405.25,735.0,1917.5,19619.7282608695,50.4
2018-01-04 11:30:00,44.02,42.87,40690,6448.0,913.0,1885.0,19707.5,50.4
2018-01-04 12:00:00,43.71,42.22,40763,6465.5,1100.0,1885.0,19675.0833333333,50.4
2018-01-04 12:30:00,43.47,44.1,40459,6677.75,1050.0,1885.0,19581.5833333333,50.4
2018-01-04 13:00:00,42.2,41.67,40511,6904.75,1010.0,1885.0,19225.55,50.4
2018-01-04 13:30:00,42.1,42.03,40217,7155.0,852.0,1885.0,18995.75,50.4
2018-01-04 14:00:00,42.33,39.99,40261,7722.5,852.0,1885.0,18632.75,50.4
2018-01-04 14:30:00,42.65,46.22,40327,7896.5,928.0,1947.5,18704.3977272727,50.4
2018-01-04 15:00:00,44.62,50.89,40703,8018.5,657.0,2169.0,19535.15,50.4
2018-01-04 15:30:00,46.55,51.97,41621,8175.25,363.0,2630.75,20170.2,50.4
2018-01-04 16:00:00,44.3,53.14,42948,8538.75,84.6,3337.33333333333,20331.0476190476,50.4
2018-01-04 16:30:00,65.72,74.03,44988,8580.5,1.41,3618.5,20644.25,50.4
2018-01-04 17:00:00,65.67,75.27,45609,8497.25,9.5e-05,3650.0,20716.25,50.4
2018-01-04 17:30:00,68.09,78.67,45341,8540.25,0.0,3650.0,20760.25,50.4
2018-01-04 18:00:00,65.26,73.39,44964,8520.5,0.0,3650.0,20780.8333333333,50.4
2018-01-04 18:30:00,63.78,72.31,44113,8383.75,0.031,3650.0,20788.75,50.4
2018-01-04 19:00:00,56.04,63.34,43293,8391.0,0.0,3438.5,20298.25,50.4
2018-01-04 19:30:00,53.69,58.73,42096,8206.5,0.0,3237.5,19028.2833333333,50.4
2018-01-04 20:00:00,52.92,59.66,40835,8073.75,0.016,2911.5,18039.2,50.4
2018-01-04 20:30:00,50.32,56.21,39351,7908.75,0.0,2279.5,16944.625,50.4
2018-01-04 21:00:00,49.72,55.06,37641,7691.5,0.00232,1636.66666666666,15275.25,50.4
2018-01-04 21:30:00,46.88,50.59,35663,7512.91666666666,0.0,1299.79166666666,14671.15,50.4
2018-01-04 22:00:00,46.18,50.11,33817,7327.66666666666,0.0149,1195.0,13113.7916666666,50.4
2018-01-04 22:30:00,45.79,49.95,32024,7043.25,0.0,1195.0,11742.175,50.4
2018-01-04 23:00:00,43.21,45.13,30055,6636.25,0.0,1007.5,10904.2333333333,50.4
2018-01-04 23:30:00,43.53,46.32,28999,6182.16666666666,0.000603,945.0,10133.5407925407,50.4
2018-01-05 00:00:00,48.54,53.8,28746,5740.91666666666,0.00228,945.0,10383.5,55.0
2018-01-05 00:30:00,52.39,58.66,29209,5290.66666666666,0.0,998.333333333333,10914.5,55.0
2018-01-05 01:00:00,50.98,51.49,28761,5207.25,9.09e-06,1405.0,11088.75,55.0
2018-01-05 01:30:00,48.61,51.63,28051,5042.75,0.0,1475.0,10813.75,55.0
2018-01-05 02:00:00,49.16,52.69,27497,4881.0,0.0,1466.25,10685.0,55.0
2018-01-05 02:30:00,49.8,53.39,27355,4369.75,0.0,1449.16666666666,10555.75,55.0
2018-01-05 03:00:00,46.54,49.05,26947,4246.75,0.0,1460.0,10512.5,55.0
2018-01-05 03:30:00,44.81,50.99,26401,4113.25,0.0,1470.83333333333,10309.6428571428,55.0
2018-01-05 04:00:00,44.78,45.3,26210,3999.25,0.0,1494.5,10182.8333333333,55.0
2018-01-05 04:30:00,45.22,51.21,26231,3737.75,0.0,1577.0,10129.6666666666,55.0
2018-01-05 05:00:00,46.72,52.61,26878,3686.0,0.0,1644.5,10542.6089743589,55.0
2018-01-05 05:30:00,46.03,52.35,28045,3684.5,0.00201,1953.0,11325.338095238,55.0
2018-01-05 06:00:00,51.11,56.36,30747,3573.5,0.0,2843.5,12644.3,55.0
2018-01-05 06:30:00,44.86,50.74,33519,3448.75,0.00221,3946.33333333333,14250.9916666666,55.0
2018-01-05 07:00:00,45.26,46.49,36681,3368.5,0.0,4838.5,17516.25,55.0
2018-01-05 07:30:00,46.54,49.22,38675,3367.5,0.0,5612.83333333333,18399.625,55.0
2018-01-05 08:00:00,43.77,47.11,40219,3552.25,0.00232,6076.0,18978.5833333333,55.0
2018-01-05 08:30:00,46.19,42.1,40847,3558.5,0.308,6144.0,19220.0,55.0
2018-01-05 09:00:00,48.77,49.46,41678,3512.0,45.0,6019.0,19239.75,55.0
2018-01-05 09:30:00,49.69,46.22,41846,3400.5,258.0,6276.5,19246.75,55.0
2018-01-05 10:00:00,50.46,47.09,41772,3469.5,787.0,6449.0,19239.75,55.0
2018-01-05 10:30:00,49.93,50.48,41612,3245.0,1130.0,6464.0,19249.5,55.0
2018-01-05 11:00:00,49.67,46.86,41474,3372.5,1370.0,6599.0,19566.5,55.0
2018-01-05 11:30:00,49.31,44.36,41441,3482.25,1590.0,6574.0,19577.9,55.0
2018-01-05 12:00:00,49.43,44.44,41471,3529.0,2100.0,6342.5,19464.4416666666,55.0
2018-01-05 12:30:00,48.99,47.06,41162,3733.25,2310.0,5970.5,19535.9166666666,55.0
2018-01-05 13:00:00,48.85,50.11,41107,3781.5,2220.0,5804.0,19557.4,55.0
2018-01-05 13:30:00,48.96,49.11,41010,3853.75,1900.0,5594.0,19410.6666666666,55.0
2018-01-05 14:00:00,49.07,49.22,41047,3929.5,1400.0,5642.33333333333,19346.0,55.0
2018-01-05 14:30:00,48.66,50.52,41070,3978.5,1040.0,5944.25,19468.8166666666,55.0
2018-01-05 15:00:00,60.68,69.16,41412,4140.0,633.0,6374.5,19649.25,55.0
2018-01-05 15:30:00,59.23,67.31,42143,4156.25,280.0,6892.0,19716.5,55.0
2018-01-05 16:00:00,63.3,69.16,43250,4303.5,50.8,7054.75,19784.0,55.0
2018-01-05 16:30:00,96.56,104.91,45052,4352.25,3.02,7504.0,20059.75,55.0
2018-01-05 17:00:00,99.98,107.59,45799,4565.25,0.135,7559.0,20163.25,55.0
2018-01-05 17:30:00,99.48,110.91,45565,4839.75,0.046,7559.0,20159.5833333333,55.0
2018-01-05 18:00:00,91.6,101.2,45032,5055.0,0.0541,7559.0,20147.75,55.0
2018-01-05 18:30:00,79.44,88.87,44536,5168.25,0.0,7488.5,20133.0,55.0
2018-01-05 19:00:00,59.55,70.49,43692,5218.0,0.0,6617.75,20136.0,55.0
2018-01-05 19:30:00,55.97,61.14,42398,5309.25,0.0,5653.75,19892.1666666666,55.0
2018-01-05 20:00:00,58.77,69.04,41060,5205.0,0.0,4503.66666666666,19466.0,55.0
2018-01-05 20:30:00,53.9,63.7,39370,5220.75,0.0,3707.25,19023.0,55.0
2018-01-05 21:00:00,52.84,52.97,37717,5118.5,0.0,3219.5,17477.875,55.0
2018-01-05 21:30:00,53.66,55.35,35948,5069.5,0.0,2365.0,16748.75,55.0
2018-01-05 22:00:00,54.02,54.69,34035,5052.0,0.0,1862.5,15430.0833333333,55.0
2018-01-05 22:30:00,55.71,58.15,32644,4846.75,0.00202,1365.0,14073.0,55.0
2018-01-05 23:00:00,56.19,57.94,30903,4871.25,0.0,1145.0,12629.05,55.0
2018-01-05 23:30:00,56.92,57.97,29743,4869.25,0.00309,1145.0,11749.1818181818,55.0
2018-01-06 00:00:00,59.61,61.03,29212,4948.0,0.00399,1145.0,11313.0,53.0
2018-01-06 00:30:00,59.9,65.65,29486,5024.25,0.0,1145.0,11082.75,53.0
2018-01-06 01:00:00,58.28,58.96,28981,5199.0,0.0,1145.0,10454.5,53.0
2018-01-06 01:30:00,56.45,61.77,28135,5410.0,0.0,951.25,9851.0,53.0
2018-01-06 02:00:00,54.16,55.93,27415,5623.75,0.0,749.166666666666,9732.0,53.0
2018-01-06 02:30:00,53.29,60.0,26997,5800.5,0.0,645.0,9739.25,53.0
2018-01-06 03:00:00,50.68,54.62,26403,5976.5,0.0,495.0,9064.93181818181,53.0
2018-01-06 03:30:00,44.87,48.99,25760,6218.5,0.00224,309.166666666666,8814.0,53.0
2018-01-06 04:00:00,44.0,48.82,25106,6529.25,0.0,300.0,8310.83333333333,53.0
2018-01-06 04:30:00,43.02,47.47,24865,6697.25,0.0,300.0,8211.73333333333,53.0
2018-01-06 05:00:00,41.04,45.49,24963,6992.75,0.0,300.0,8127.5,53.0
2018-01-06 05:30:00,40.62,41.83,25269,7090.25,0.0,300.0,8069.23809523809,53.0
2018-01-06 06:00:00,43.63,45.05,26615,7358.0,0.00221,312.5,8672.25,53.0
2018-01-06 06:30:00,42.96,46.59,27721,7607.25,0.0,500.0,9189.76666666666,53.0
2018-01-06 07:00:00,43.88,46.74,29118,7944.75,0.0,595.833333333333,9367.53125,53.0
2018-01-06 07:30:00,45.13,50.53,30330,8075.0,0.0,693.0,10110.9555555555,53.0
2018-01-06 08:00:00,45.84,46.81,31883,8324.0,2.78e-05,809.5,10626.7151515151,53.0
2018-01-06 08:30:00,55.94,53.86,33624,8197.5,2.24,1140.0,11628.6166666666,53.0
2018-01-06 09:00:00,56.89,58.82,35203,8507.0,58.3,1536.5,12532.625,53.0
2018-01-06 09:30:00,55.56,54.67,35870,8448.0,290.0,1587.0,13163.25,53.0
2018-01-06 10:00:00,55.26,56.54,36401,8699.5,660.0,1587.0,13346.0,53.0
2018-01-06 10:30:00,54.35,56.03,36529,8334.25,1200.0,1587.0,13627.0,53.0
2018-01-06 11:00:00,55.48,52.2,36471,8290.0,1550.0,1587.0,13613.5,53.0
2018-01-06 11:30:00,53.95,50.69,36283,8123.75,1830.0,1587.0,13609.0,53.0
2018-01-06 12:00:00,52.64,49.13,36443,8289.0,2040.0,1587.0,13631.0,53.0
2018-01-06 12:30:00,54.44,54.75,36339,8207.0,1900.0,1587.0,13632.5,53.0
2018-01-06 13:00:00,54.86,53.48,36327,8391.0,1950.0,1587.0,13656.0,53.0
2018-01-06 13:30:00,50.9,51.87,36076,8298.25,1610.0,1582.0,13688.75,53.0
2018-01-06 14:00:00,48.43,45.19,36224,8458.75,1440.0,1587.0,13720.1818181818,53.0
2018-01-06 14:30:00,46.26,50.04,36245,8650.75,1090.0,1271.0,13174.4782608695,53.0
2018-01-06 15:00:00,51.74,57.42,36618,8521.0,809.0,1346.5,13137.284090909,53.0
2018-01-06 15:30:00,52.24,61.17,37604,8704.75,405.0,1967.75,14268.1666666666,53.0
2018-01-06 16:00:00,54.59,60.74,39358,8554.75,103.0,2948.16666666666,15476.049047619,53.0
2018-01-06 16:30:00,75.35,83.36,41734,8514.5,7.35,3077.0,15882.0,53.0
2018-01-06 17:00:00,81.52,91.94,42531,8414.75,0.043,3382.0,15894.75,53.0
2018-01-06 17:30:00,83.92,91.47,42888,8372.5,0.0914,3527.0,15903.75,53.0
2018-01-06 18:00:00,83.5,92.22,42375,8404.25,0.0021,3527.0,15929.0,53.0
2018-01-06 18:30:00,72.77,78.19,41446,8351.5,0.0,3527.0,15933.8333333333,53.0
